array_generator,size,algorithm,instruction_count
generate_sorted_array,10,shell_sort,505421847
generate_sorted_array,10,insertion_sort,358634117
generate_sorted_array,10,selection_sort,364938858
generate_sorted_array,10,bubble_sort,360993563
generate_sorted_array,10,heap_sort,1369276013
generate_sorted_array,10,merge_sort,1389388981
generate_sorted_array,10,quick_sort,1116730669
generate_sorted_array,100,shell_sort,5303
generate_sorted_array,100,insertion_sort,3393
generate_sorted_array,100,selection_sort,77045
generate_sorted_array,100,bubble_sort,30982
generate_sorted_array,100,heap_sort,51852
generate_sorted_array,100,merge_sort,22184
generate_sorted_array,100,quick_sort,117979
generate_sorted_array,1000,shell_sort,11122
generate_sorted_array,1000,insertion_sort,14168
generate_sorted_array,1000,selection_sort,7163471
generate_sorted_array,1000,bubble_sort,2652677
generate_sorted_array,1000,heap_sort,763074
generate_sorted_array,1000,merge_sort,254028
generate_sorted_array,1000,quick_sort,10584514
generate_sorted_array,10000,shell_sort,69641
generate_sorted_array,10000,insertion_sort,122148
generate_sorted_array,10000,selection_sort,712862214
generate_sorted_array,10000,bubble_sort,262757189
generate_sorted_array,10000,heap_sort,10387331
generate_sorted_array,10000,merge_sort,3047448
generate_sorted_array,10000,quick_sort,1050800019
generate_sorted_array,100000,shell_sort,654661
generate_sorted_array,100000,insertion_sort,1202171
generate_sorted_array,100000,selection_sort,71253603247
generate_sorted_array,100000,bubble_sort,26252552792
generate_sorted_array,100000,heap_sort,130431790
generate_sorted_array,100000,merge_sort,35662758
generate_sorted_array,100000,quick_sort,105007956289
generate_sorted_array,1000000,shell_sort,6504629
generate_sorted_array,1000000,insertion_sort,12002169
generate_sorted_array,1000000,selection_sort,7125036111876
generate_sorted_array,1000000,bubble_sort,2625025555709
generate_sorted_array,1000000,heap_sort,1566478922
generate_sorted_array,1000000,merge_sort,407720508
generate_sorted_array,1000000,quick_sort,10500079625672
generate_reversed_sorted_array,10,shell_sort,5024
generate_reversed_sorted_array,10,insertion_sort,2300
generate_reversed_sorted_array,10,selection_sort,3534
generate_reversed_sorted_array,10,bubble_sort,2687
generate_reversed_sorted_array,10,heap_sort,4599
generate_reversed_sorted_array,10,merge_sort,3892
generate_reversed_sorted_array,10,quick_sort,6862
generate_reversed_sorted_array,100,shell_sort,44673
generate_reversed_sorted_array,100,insertion_sort,3699
generate_reversed_sorted_array,100,selection_sort,77049
generate_reversed_sorted_array,100,bubble_sort,31049
generate_reversed_sorted_array,100,heap_sort,51714
generate_reversed_sorted_array,100,merge_sort,22000
generate_reversed_sorted_array,100,quick_sort,117705
generate_reversed_sorted_array,1000,shell_sort,4004940
generate_reversed_sorted_array,1000,insertion_sort,14037
generate_reversed_sorted_array,1000,selection_sort,7162972
generate_reversed_sorted_array,1000,bubble_sort,2652465
generate_reversed_sorted_array,1000,heap_sort,762851
generate_reversed_sorted_array,1000,merge_sort,253805
generate_reversed_sorted_array,1000,quick_sort,10584288
generate_reversed_sorted_array,10000,shell_sort,400009465
generate_reversed_sorted_array,10000,insertion_sort,121995
generate_reversed_sorted_array,10000,selection_sort,712862033
generate_reversed_sorted_array,10000,bubble_sort,262756976
generate_reversed_sorted_array,10000,heap_sort,10387138
generate_reversed_sorted_array,10000,merge_sort,3047178
generate_reversed_sorted_array,10000,quick_sort,1050799851
generate_reversed_sorted_array,100000,shell_sort,40000055079
generate_reversed_sorted_array,100000,insertion_sort,1201995
generate_reversed_sorted_array,100000,selection_sort,71253602758
generate_reversed_sorted_array,100000,bubble_sort,26252552445
generate_reversed_sorted_array,100000,heap_sort,130431551
generate_reversed_sorted_array,100000,merge_sort,35662587
generate_reversed_sorted_array,100000,quick_sort,105007955896
generate_reversed_sorted_array,1000000,shell_sort,4000000580231
generate_reversed_sorted_array,1000000,insertion_sort,12001995
generate_reversed_sorted_array,1000000,selection_sort,7125036115030
